id;name;lat;long;value
1;Amoy;24.479794;118.081869;167
2;Amur;52.833333;123.2;2
3;Anhwei;31.9167;117.1667;1
4;Annam;17.25;106.5;69
5;Aoyama;34.6;136.2167;2
6;Baclieu;9.2833;105.7333;4
7;Bacninh;21.1833;106.05;11
8;Balanga;14.6833;120.55;1
9;Balek Pulau;5.35;100.233333;1
10;Banam;10.3833;105.4167;1
11;Bangkok;13.753;100.501;385
12;Banplasoi;13.366667;100.983056;1
13;Banxang;20.52408;102.294467;1
14;Baoha;22.190278;104.367778;1
15;Baria;10.583333;107.25;1
16;Batang Padang;4.083333;101.333333;3
17;Batavia;-6.1333;106.75;1
18;Batu Gajah;4.45;101.0333;2
19;Bentré;10.2333;106.3833;4
20;Bienhoa;10.9667;106.8333;4
21;Binhdinh;14.166667;109;13
22;Binhphu;15.625833;108.324167;1
23;Blagowestschensk;50.3167;127.5;5
24;Bongmieu;15.4167;108.4;6
25;British North Borneo;5.5;117;90
26;Brunei;4.5;114.6667;1
27;Buichu, Tonkin;20.304301;106.337053;1
28;Cabagan;17.4333;121.75;1
29;Cabagan;17.4333;121.75;1
30;Cagayan;18;121.8333;1
31;Cambodge;13;105;57
32;Cantho, Cochin China;10.0333;105.7833;6
33;Canton;23.116667;113.25;178
34;Cap St. Jaques;10.35;107.0667;6
35;Carlatan;16.635287;120.319692;1
36;Cebu;10.321;123.754;76
37;Cercle de Langson, Tonkin;21.852639;106.76101;1
38;Chaudoc, Cochinchine;10.7;105.05;3
39;Chefoo;37.533333;121.4;104
40;Chekiang;29.166667;120;48
41;Chemulpo;37.4667;126.6333;24
42;Chengku;33.154031;107.335081;1
43;Chengtu;30.666667;104.066667;6
44;Chiangmai;18.8;98.9833;5
45;Chihli;39;115.666667;37
46;China;35;105;17
47;Chinanfoo;36.683333;117.05;1
48;Chinchow;41.107778;121.141667;2
49;Chinkiang;32.210863;119.455076;52
50;Cholon;10.7333;106.65;7
51;Chugking;29.562778;106.552778;2
52;Chuki;32.325686;109.723369;1
53;Chungkiang;31.03959;104.674476;1
54;Chungking;29.562778;106.552778;43
55;Cochin China;11;107;34
56;Corea;37;127.5;71
57;Cua-vist, Annam;16.910499;107.174698;1
58;Cuatung, Annam;17.023056;107.110417;1
59;Dapcau, Tonkin;21.202809;106.094734;1
60;Donkho, Laos;15.153683;105.73844;1
61;Eastern Siberia;null;null;17
62;Etajima;34.25;132.5;1
63;Faifo;15.9;108.3167;2
64;Fokien;26.25;118;3
65;Foochow;27.95999;116.333333;240
66;Formosa;24;121;12
67;Fukuoka, Japan;33.568739;130.356748;6
68;Fukwing;22.670433;113.810683;1
69;Funabashi;35.7;139.9833;1
70;Gensan;39.152;127.443;2
71;Gocong;10.366667;106.666667;1
72;Habarovsk;48.5;135.1;1
73;Hagiang;22.8333;104.9833;3
74;Haichêng;40.851582;122.747537;1
75;Haiduong;20.9333;106.3167;5
76;Hainan;19.25;109.75;2
77;Haininh;21.501;107.4296;2
78;Haiphong;20.8667;106.6833;222
79;Hakodate;41.7667;140.7333;36
80;Hanam;20.533333;105.966667;6
81;Hangchow;30.29365;120.161419;46
82;Hanhong;36.6388;112.204;6
83;Hankow;30.583333;114.266667;216
84;Hanoi;21.0167;105.8667;239
85;Hanyang;30.5397;114.2119;4
86;Hatien;10.4;104.5;1
87;Hatinh;18.35;105.9167;4
88;Hiephoa, Annam;15.586111;108.009722;1
89;Hiogo;34.65;135.1667;3
90;Hiroshima;34.3833;132.45;2
91;Ho-tsin;35.58;110.699722;1
92;Hoabinh;20.8167;105.3333;3
93;Hoihow;20.045833;110.341667;27
94;Hokow;22.538506;104.01109;2
95;Hokshuha;23.721306;115.348822;1
96;Honai;33.5;132.4167;1
