id;name;lat;long;value
97;Honan;34;113.6667;9
98;Honecohé;12.558293;109.217714;1
99;Hong Yen;20.816667;106.05;5
100;Hongay;20.95;107.1;3
101;Honghoa;21.276199;105.286855;7
102;Hongkong;22.25;114.1667;1716
103;Hsiao-i-hsien;37.122778;111.802222;1
104;Huaphai;15.38567;105.480664;1
105;Hunan;27.6667;111.75;4
106;Hupeh;31;112.25;24
107;Hué;16.4667;107.5833;23
108;Ichang;30.77135;111.321458;37
109;Ichowfu;35.063056;118.342778;2
110;Iloilo;10.7;122.5667;150
111;Ipoh;4.6;101.0333;1
112;Iriga;13.4333;123.4;1
113;Isabela de Luzon;17;122;1
114;Iwane-machi;35.3833;139.95;1
115;Japan;36;138;152
116;Jasin;2.3;102.4;1
117;Java;-7.491667;110.004444;1
118;Jelebu;35.375972;139.916833;5
119;Johore;2;103.5;20
120;Kagoshima;31.6167;130.5333;2
121;Kaiping;22.381245;112.684921;1
122;Kalgan;40.81;114.879444;2
123;Kampong;12;105.45;1
124;Kampot;10.6167;104.1833;2
125;Kanazawa;36.5833;136.6333;1
126;Kanowit;2.05;112.25;1
127;Kansuh;37.75;102.75;2
128;Kansuh;37.75;102.75;13
129;Khanh-hoi, Cochinchine;9.319924;104.833118;2
130;Khone;13.948056;105.940556;1
131;Khong;14.1167;105.85;2
132;Kia-ting-fu;29.562275;103.76386;1
133;Kiangsi;27.666667;115.666667;17
134;Kiangsi Province;27.6667;115.6667;1
135;Kiangsu;33;119.833333;11
136;Kiao-chow;36.2839;120.0033;11
137;Kimbong;20.660452;105.867076;1
138;Kinta;4.583333;101.083333;1
139;Kirin;43.850833;126.560278;4
140;Kiukiang;29.733333;115.983333;78
141;Klang;3;101.45;5
142;Kobe;34.6667;135.2;474
143;Kochi;33.55;133.5333;1
144;Kompong Thom;12.7;104.9;2
145;Kompong chuan, Cambodge;12.25;104.6667;1
146;Korat;15;102.1;2
147;Kowloon Frontier;22.3167;114.1833;42
148;Kratie;12.66667;106.08333;2
149;Krauchmar, Cochin-China;12.166667;105.666667;1
150;Krian;5;100.5;2
151;Kuala Kangsar;4.8333;100.9167;2
152;Kuala Lumpur;3.1667;101.7;10
153;Kuan-hsien;31.0146;103.582;2
154;Kuantan;3.8333;103.3167;1
155;Kuching;1.5333;110.3333;2
156;Kudat;6.883333;116.833333;1
157;Kueichow;27;107;1
158;Kueiyang;26.583333;106.716667;1
159;Kumamoto;32.8333;130.7;2
160;Kwala Langat, Selangor;2.833333;101.5;1
161;Kwala Selangor;3.4;101.2;2
162;Kwangse;23.336944;102.315833;8
163;Kwangtung;23.5;113.25;32
164;Kweichow;27;107;10
165;Labuan;5.333333;115.2;24
166;Lagan;11.166667;108.7;1
167;Lakawn;8.433333;99.966667;1
168;Lam;21.152834;105.47214;1
169;Langson;21.852639;106.76101;10
170;Laobrang, Thibet;35.195556;102.508056;2
171;Laokay;22.5;103.9667;3
172;Lappa;22.12;113.510114;5
173;Larut;4.916667;100.75;3
174;Leyte;11.3833;124.4833;1
175;Liang-hsiang;39.735978;116.132952;1
176;Liaoyang;41.271944;123.173056;2
177;Lilong;23.004219;111.540495;1
178;Liu-kung Tao;37.502222;122.181389;1
179;Longchuen;27.845278;119.339167;3
180;Longheu;22.679843;114.00534;2
181;Longxuyen;10.3833;105.4167;3
182;Lucheng;36.331389;113.224444;1
183;Lukouchiao, Tientsin;39.868796;116.277452;1
184;Lunganfu;32.409336;104.528684;1
185;Lungchow;22.4;106.9833;11
186;Macao;22.1667;113.55;242
187;Malacca;2.25;102.25;44
188;Malay Peninsula;6;102;1
189;Manchuria;42;126;30
190;Manila;14.6167;120.9667;660
191;Matang, Perak;4.847163;100.693826;1
192;Matsue;35.4833;133.0667;1
193;Matsuyama;33.8333;132.7833;2
194;Mengtsz;23.360024;103.43684;9
195;Miyazaki;35.9333;136.0833;1
196;Mokpo;34.7833;126.3833;1
197;Molin;22.244288;112.604125;3
198;Mongolia;46;105;6
199;Mukden;41.792222;123.432778;2
200;Mytho;10.35;106.35;4
201;Nagasaki;32.75;129.8667;137
202;Nagoya;35.1333;136.8833;2
203;Naguilian;17.0667;121.8;1
204;Nakatsu;33.6167;131.1833;1
205;Namdinh;20.4167;106.1667;8
206;Namhung;25.2333;114.3333;1
207;Nanchang-fu;28.683333;115.883333;1
208;Naniwa Jogakko;34.65;135.5;1
209;Nanking;32.061667;118.777778;68
210;Negri Sembilan;2.75;102.166667;27
211;Newchang;40.664823;122.228329;1
212;Newchwang;40.664823;122.228329;51
213;Nganking;30.513646;117.047234;4
214;Nghe An, Annam;19.25;104.916667;3
215;Ngoc Duong, Tonkin;22.842097;105.01499;1
216;Nhatrang;12.248089;109.19436;7
217;Nibong Tebal;5.2;100.4667;1
218;Nicolajewsk, Eastern Siberia;53.1667;140.7333;1
219;Niigata;37.9667;139.0333;4
220;Nikolsk;43.8;131.9833;5
221;Ninghai, Chehkiang;29.289167;121.424722;1
222;Ningpo;29.878186;121.549453;74
223;Ninh-binh, Tonkin;20.25;105.9833;8
224;Ninh-hoa, Annam;12.4667;109.1167;1
225;Ninhcuong, Tonkin;20.194389;106.206921;1
226;North Kiangsi;27.666667;115.666667;1
227;Northern Hunan;27.666667;111.75;4
228;Novokiefsh, Siberia;51.665316;128.920798;1
229;Nyenhangli, Kwangtung;23.799206;115.462014;1
230;Oita, Japan;33.25;131.6;2
231;Osaka;34.6667;135.5;49
232;Otaru;43.2333;140.9833;1
233;Padang Rengas, Perak;4.776155;100.840613;1
234;Pahang;3.5;102.75;65
235;Pakhoi;21.483333;109.1;19
236;Paknampho, Siam;15.6833;100.1167;1
237;Pang-hai, Kweichow;26.7314;108.059;1
238;Pao-ning, Szechuen;31.55037;105.99381;4
239;Pao-t’eo, Mongolia;40.810556;111.652222;1
240;Paotingfu, North China;38.851111;115.490278;1
241;Pawlinoffsk, Eastern Siberia;53.05;158.7167;2
242;Peiping;39.928819;116.388869;207
243;Pekan, Pahang;3.4833;103.3833;1
244;Penang;5.32623;100.321579;311
245;Perak;5;101;208
246;Phan-thiet, Annam;10.9333;108.1;6
247;Phanrang, Annam;11.564315;108.988581;10
248;Phatdien, Tonkin;20.1;106.1167;1
249;Philippines;13;122;39
250;Phnompenh;11.5833;104.9167;2
251;Phu-ly, Tonkin;20.545;105.912;2
252;Phu-nhai, Tonkin Central;20.299957;106.362888;1
253;Phu-yen, Annam;21.25;104.65;3
254;Phuc-nhac, Tonkin;20.162076;106.07991;1
255;Phulang-thuong;21.2667;106.2;17
256;Pingyangfu, Shansi;36.088889;111.518889;4
257;Pingyao, Shansi;37.2025;112.178056;1
258;Port Arthur;38.8;121.266667;19
259;Port Dickson;2.5167;101.8;3
260;Possiet, Siberia;42.65;130.7833;1
261;Poulo Condore, Cochinchina;8.7;106.5833;1
262;Prey-veng, Cambodia;11.4833;105.3167;2
263;Province Wellesley, Penang;5.371611;100.413161;17
264;Pursat;12.5333;103.9167;2
265;Pyongyang, Korea;39.019;125.754;1
266;Rachgia;10.012;105.13;2
267;Sagalien;null;null;2
268;Saigon;10.75;106.6667;727
269;Samshui;23.172804;112.833545;4
270;Sandakan;5.8667;118.0667;25
271;Sarawak;2.5;113.5;63
272;Selangor;3.166667;101.5;184
273;Seoul;37.5333;127;56
274;Seremban;2.7;101.9;11
275;Shanghai;31.222222;121.458056;1724
276;Shasi;30.307222;112.244722;5
277;Siam;15;100;53
278;Singapore;1.3667;103.8;1062
279;Soochow;31.304077;120.59538;43
280;Swatow;23.36814;116.71479;84
281;Szechuen;30.5;102.6667;76
282;Tainan-fu;23.15027;120.34194;10
283;Taiping;4.9;100.7;1
284;Taku;33.2833;130.1333;22
285;Thanh-hoa;19.8167;105.8;4
286;Tibet;31.6667;88;4
287;Tientsin;39.142222;117.176667;334
288;Tokyo;35.75;139.5;255
289;Tonkin;22;105;136
290;Tourane;16.0667;108.2333;30
291;Urga, Mongolia;47.9;106.8667;1
292;Vinh;18.7;105.6833;3
293;Vinhlong;10.25;105.9833;3
294;Vladivostok;43.15;131.8833;222
295;Weihaiwei;37.509136;122.113557;19
296;Wenchow;27.999416;120.66682;20
297;Whampoa;23.109799;113.4374;3
298;Wuchow;23.483333;111.316667;23
299;Wuhu;32.661111;117.266667;54
300;Yamaguchi;34.1667;131.4667;1
301;Yenbai;21.7167;104.9;6
302;Yeungkong;21.855635;111.962724;1
303;Yokohoma;35.4667;139.6333;777
304;Yuensan;39.152778;127.443611;1
305;Yunnan;25;101.5;26
306;Yunnanfu;25.038889;102.718333;10
