Admiral’s Staff U.S. Squadron	Admiral Staff U.Squadron	Admiral’s Staff U.S. Squadron
Alger	Alger	Alger	French cruiser "Alger"	French cruiser “Alger”
Archer	Archer	Archer	H. B. M. S. "Archer"	H. M. S. "Archer"	H.B.M.S. "Archer"	H. B. M. S. "Archer"	H.B.M.S. “Archer”
Arcona	Arcona	Arcona	H. I. German M. S. "Arcona"	H. I. German M. S. “ Arcona ”	H.I. German M.S. "Arcona"	H.I. German M.S. “ Arcona”	H.I.G.M.S. "Arcona"	H.l.G.M.S. "Arcona"
British flagship, "Barfleur"	British  Barfleur	British flagship, "Barfleur"
Centurion	Centurion	Centurion	H. B. M. S. "Centurion"	H. B. M. S. “Centurion”	H. M. S. "Centurion"	H.B.M.S. "Centurion"	H.B.M.S. "Centurion"	H. B. M. S. "Centurion"	H.B.M. Flagship "Centurion"	H.B.M. flagship "Centurion"	H. B. M. flagship "Centurion"	H.B.M.S. 'Centurion"	H.B.M.S. “Centurion”
Charleston	Charleston	Charleston	U. S. cruiser "Charleston"	U. S. S. "Charleston"	U.S. S. "Charleston"	U.S.S. "Charleston"	U.S.S. “ Charleston ”	U.S.A. cruiser "Charleston"	U. S. A. cruiser “ Charleston ”	U.S.S. "Charleston"	U. S. A. cruiser "Charleston"	U. S. S. "Charleston"
Concord	Concord	Concord	U. S. S. "Concord"	U. S. S. Concord	U.S. cruiser "Concord"	U.S.S. "Concord"	U.S.S. “Concord”	U.S.A. gunboat "Concord"	U. S. A. gunboat "Concord"
E. E. A. & C. Telegraph Co.’s S	E. E. A. & C. Telegraph Co. S	E. E. A. & C. Telegraph Co.’s S	E. E. A. & C. Telegraph Co.’s steamer
E. E., A. & C. Tel. Co.'s Steamer "Sherard Osborne"	E. E. A. & C. Tel. Co. Steamer Sherard Osborne	E. E., A. & C. Tel. Co.'s Steamer "Sherard Osborne"
Edgar	Edgar	Edgar	H. B. M. cruiser "Edgar"	H. B. M. S. "Edgar"	H. B. M. S. “ Edgar ”	H. B. M. S. “Edgar”	H. M. S. "Edgar"	H.B.M.S. "Edgar"
Emperor Nicolas ”	Emperor Nicolas	Emperor Nicolas ”	Russian ironclad "Emperor Nicolas"
F. C„ gunnel’. II.B.M.S. “Linnet	F. C„ gunnel’. II.B.M.Linnet	F. C„ gunnel’. II.B.M.S. “Linnet
Forfait	Forfait	Forfait	French cruiser "Forfait"	French cruiser “Forfait”
French Flagship "Bayard"	Bayard	French Flagship "Bayard"	French flagship "Bayard"	French flagship “Bayard”
