id;placename;groupmode;y_lat;x_long;personcount;place_category
124;Kampong;P;12;105.45;1;Point
125;Kanazawa;P;36.5833;136.6333;1;Point
126;Kanowit;P;2.05;112.25;1;Point
127;Kaochow;P;21.939243;110.846074;1;Point
128;Kayingchow;P;24.297687;116.107241;1;Point
129;Kayuen;P;42.533056;124.040278;2;Point
130;Khanh-hoi, Cochinchine;P;9.319924;104.833118;2;Point
131;Khone;P;13.948056;105.940556;1;Point
132;Khong;P;14.1167;105.85;2;Point
133;Kiangsu;P;33;119.833333;11;Polygon
134;Kiao-chow;P;36.283889;120.003333;3;Point
135;Kimbong;P;15.866401;108.319663;1;Point
136;Kinta;P;4.583333;101.083333;1;Polygon
137;Kirin;P;43.850833;126.560278;4;Point
138;Klang;P;3;101.45;5;Point
139;Kobe;P;34.6667;135.2;474;Point
140;Kochi;P;33.55;133.5333;1;Point
141;Kompong Thom;P;12.7;104.9;2;Point
142;Kompong chuan, Cambodge;P;12.25;104.6667;1;Point
143;Korat;P;15;102.1;2;Point
144;Kowloon Frontier;P;22.3167;114.1833;42;Polygon
145;Krauchmar, Cochin-China;P;12.166667;105.666667;1;Point
146;Krian;P;5;100.5;2;Polygon
147;Ksuhan Province;P;31.35;120.95;1;Point
148;Kuala Kangsar;P;4.8333;100.9167;2;Point
149;Kuala Lumpur;P;3.1667;101.7;10;Point
150;Kuan-hsien;P;31.0146;103.582;2;Point
151;Kuantan;P;3.8333;103.3167;1;Point
152;Kudat;P;6.9;116.7833;1;Point
153;Kueiyang;P;26.583333;106.716667;1;Point
154;Kumamoto;P;32.8333;130.7;2;Point
155;Kwala Langat, Selangor;P;2.833333;101.5;1;Polygon
156;Kwala Selangor;P;3.4;101.2;2;Point
157;Kwangse;P;23.336944;102.315833;8;Point
158;Kweilin;P;25.281944;110.286389;1;Point
159;Késó, Tonkin;P;20.5;105.9;1;Point
160;Labuan;P;5.333333;115.2;24;Polygon
161;Lagan;P;11.166667;108.7;1;point
162;Lakawn;P;8.433333;99.966667;1;Point
163;Lam;P;21.152834;105.47214;1;Point
164;Lao-ho-keo;P;32.385833;111.667778;2;Point
165;Laobrang, Thibet;P;35.195556;102.508056;2;Point
166;Laokay;P;22.5;103.9667;3;Point
167;Lappa;P;22.12;113.510114;5;Point
168;Larut;P;4.916667;100.75;3;Polygon
169;Lateng, West River;P;23.9659;108.05;2;Point
170;Leyte;P;11.3833;124.4833;1;Point
171;Liang-hsiang;P;39.735978;116.132952;1;Point
172;Liaoyang;P;41.271944;123.173056;2;Point
173;Lilong;P;23.004219;111.540495;1;Point
174;Liu-kung Tao;P;37.502222;122.181389;1;Polygon
175;Longchuen;P;27.845278;119.339167;3;Point
176;Longheu;P;22.679843;114.00534;2;Point
177;Lucheng;P;36.331389;113.224444;1;Point
178;Luchow, Szechuen;P;28.872391;105.44049;1;Point
179;Lukouchiao, Tientsin;P;39.868796;116.277452;1;Polygon
180;Lunganfu;P;32.409336;104.528684;1;Point
181;Lungchow;P;22.4;106.9833;11;Point
182;Macao;P;22.1667;113.55;242;Polygon
183;Malacca;P;2.25;102.25;44;Polygon
184;Malay Peninsula;P;6;102;1;Polygon
185;Manchuria;P;42;126;30;Polygon
186;Manila;P;14.6167;120.9667;660;Point
187;Matang, Perak;P;4.847163;100.693826;1;Polygon
188;Matsue;P;35.4833;133.0667;1;Point
189;Matsuyama;P;33.8333;132.7833;2;Point
190;Miyazaki;P;35.9333;136.0833;1;Point
191;Mokpo;P;34.7833;126.3833;1;Point
192;Molin;P;22.244288;112.604125;3;Point
193;Mongolia;P;46;105;6;Polygon
194;Mui-ngoc, Tonkin;P;21.5333;107.9667;1;Point
195;Mukden;P;41.792222;123.432778;2;Point
196;Mytho;P;10.35;106.35;4;Point
197;Nagasaki;P;32.75;129.8667;137;Point
198;Nagoya;P;35.1333;136.8833;2;Point
199;Naguilian;P;17.0667;121.8;1;Point
200;Nakatsu;P;33.6167;131.1833;1;Point
201;Namdinh;P;20.4167;106.1667;8;Point
202;Namhung;P;25.2333;114.3333;1;Point
203;Nanchang-fu;P;28.683333;115.883333;1;Point
204;Naniwa Jogakko;P;34.65;135.5;1;Point
205;Nanking;P;32.061667;118.777778;68;Point
206;Negri Sembilan;P;2.75;102.166667;27;Polygon
207;Newchang;P;40.664823;122.228329;52;Point
208;Nghe An, Annam;P;19.25;104.916667;3;Polygon
209;Ngoc Duong, Tonkin;P;22.842097;105.01499;1;Point
210;Nibong Tebal;P;5.2;100.4667;1;Point
211;Nicolajewsk, Eastern Siberia;P;53.1667;140.7333;1;Point
212;Niigata;P;37.9667;139.0333;4;Point
213;Nikolsk;P;43.8;131.9833;5;Point
214;Ninghai, Chehkiang;P;29.289167;121.424722;1;Point
215;Ningpo;P;29.878186;121.549453;74;Point
216;Ninh-binh, Tonkin;P;20.25;105.9833;8;Point
217;Ninh-hoa, Annam;P;12.4667;109.1167;1;Point
218;Ninhcuong, Tonkin;P;20.194389;106.206921;1;Point
219;Novokiefsh, Siberia;P;51.665316;128.920798;1;Point
220;Nyenhangli, Kwangtung;P;23.799206;115.462014;1;Point
221;Oita, Japan;P;33.25;131.6;2;Point
222;Osaka;P;34.6667;135.5;49;Point
223;Otaru;P;43.2333;140.9833;1;Point
224;Padang Rengas, Perak;P;4.776155;100.840613;1;Point
225;Pahang;P;3.5;102.75;66;Polygon
226;Pakhoi;P;21.483333;109.1;19;Point
227;Paknampho, Siam;P;15.6833;100.1167;1;Point
228;Pang-hai, Kweichow;P;26.7314;108.059;1;Polygon
229;Pao-t’eo, Mongolia;P;40.810556;111.652222;1;Point
230;Paotingfu, North China;P;38.851111;115.490278;1;Point
231;Pawlinoffsk, Eastern Siberia;P;53.05;158.7167;2;Point
232;Peiping;P;39.928819;116.388869;207;Point
233;Pekan, Pahang;P;3.4833;103.3833;1;Point
234;Penang;P;5.32623;100.321579;311;Polygon
235;Phan-thiet, Annam;P;10.9333;108.1;6;Point
236;Phanrang, Annam;P;11.564315;108.988581;10;Point
237;Phatdien, Tonkin;P;20.1;106.1167;1;Point
238;Philippines;P;13;122;39;Polygon
239;Phu-ly, Tonkin;P;20.545;105.912;2;Point
240;Phu-nhai, Tonkin Central;P;20.299957;106.362888;1;Point
241;Phu-yen, Annam;P;21.25;104.65;3;Point
242;Phuc-nhac, Tonkin;P;20.162076;106.07991;1;Point
243;Phulang-thuong;P;21.2667;106.2;17;Point
244;Pingyangfu, Shansi;P;36.088889;111.518889;4;Point
245;Pingyao, Shansi;P;37.2025;112.178056;1;Point
246;Port Arthur;P;38.8;121.266667;19;Point
247;Port Dickson;P;2.5167;101.8;3;Point
248;Possiet, Siberia;P;42.65;130.7833;1;Point
249;Poulo Condore, Cochinchina;P;8.7;106.5833;1;Polygon
250;Prey-veng, Cambodia;P;11.4833;105.3167;2;Point
251;Province Wellesley, Penang;P;5.371611;100.413161;17;Point
252;Pyongyang, Korea;P;39.019;125.754;1;Point
253;Quang Binh, Annam;P;17.5;106.333333;3;Polygon
254;Qui Nhon, Annam;P;13.7833;109.1833;1;Point
255;Quop, Sarawak;P;1.409278;110.366966;1;Point
256;Raheng, Siam;P;16.5833;98.8333;1;Polygon
257;Rajaburi, Siam;P;13.5833;99.5333;1;Polygon
258;Rajang, Sarawak;P;null;null;1;Polygon
259;Rangoon;P;16.7833;96.1667;1;Point
260;Sa Ky, Annam;P;15.215194;108.914528;1;Point
261;Sa-dec, Cochinchine;P;10.3;105.7667;1;Point
262;Sagalien;P;null;null;2;Polygon
263;Saigoi, Tibet;P;29.104;88.504;1;Point
264;Saigon;P;10.75;106.6667;729;Point
265;Saigou;P;34.995571;111.984558;1;Point
266;Samshui;P;23.172804;112.833545;4;Point
267;Sandakan;P;5.8667;118.0667;27;Point
268;Sapporo;P;43.0833;141.35;1;Point
269;Sarawak;P;2.5;113.5;63;Polygon
270;Selangor;P;3.166667;101.5;184;Polygon
271;Sendai;P;38.2667;140.8667;5;Point
272;Seoul;P;37.5333;127;56;Point
273;Seremban;P;2.7;101.9;13;Point
274;Shangtung;P;28.453934;120.395417;1;Point
275;Shansi;P;37.666667;112.25;70;Polygon
276;Shantung;P;36.333333;118.25;64;Polygon
277;Shaohing, Chekiang Province;P;30.011019;120.571528;2;Point
278;Shaowu, Fokien Province;P;27.340891;117.483096;1;Point
279;Shasi;P;30.307222;112.244722;6;Point
280;Shensi;P;35.25;109.25;40;Polygon
281;Shizuoka, Japan;P;34.9833;138.4;2;Point
282;Shou-yang-hsien, Shansi;P;37.908013;113.150438;3;Point
283;Si-ngan-fu, Shensi;P;34.258333;108.928611;16;Point
284;Siam;P;15;100;54;Polygon
285;Siang-hsien, Honam;P;34.83107;126.09872;1;Polygon
286;Siaomei, Chekiang;P;27.8223;118.969;1;Polygon
287;Sihcheo, Shansi;P;36.695249;110.95564;1;Point
