1;Amoy;24.479794;118.081869;26
2;Annam;null;null;1
3;Antung;40.129167;124.394722;5
4;Bandoeng;-6.95;107.5667;1
5;Bangkok;13.753;100.501;230
6;Batavia;-6.1333;106.75;53
7;Batu Gajah;4.45;101.0333;1
8;Batu Pahat;1.8333;102.8;1
9;Bengkalis;1.45;102.1667;1
10;Bentong;3.5333;101.9167;1
11;British North Borneo;5.5;117;62
12;Brunei;4.5;114.6667;13
13;Cambodge;13;105;1
14;Canton;23.116667;113.25;215
15;Cebu;10.321;123.754;55
16;Changchow;24.513333;117.655556;1
17;Changchun;43.88;125.322778;2
18;Changsha;26.714722;112.383889;18
19;Changtu;42.293056;123.841389;1
20;Chefoo;37.533333;121.4;36
21;Chemulpo;37.4667;126.6333;4
22;China;35;105;29
23;Chinkiang;32.210863;119.455076;2
24;Chinnampo;38.737;125.407;2
25;Chinwangtao;39.931667;119.588333;7
26;Chosen;37;127.5;7
27;Chungking;29.562778;106.552778;21
28;Dairen;38.912222;121.602222;45
29;Daitotei;25.11531;121.531783;1
30;Davao;7.073;125.612;1
31;East Coast of Sumatra;0.2433;103.720336;3
32;Federated Malay States;4;102.1;24
33;Foochow;27.95999;116.333333;54
34;Formosa;24;121;12
35;Haiphong;20.8667;106.6833;93
36;Hakodate;41.7667;140.7333;3
37;Hangchow;30.29365;120.161419;9
38;Hankow;30.583333;114.266667;234
39;Hanoi;21.0167;105.8667;22
40;Harbin;45.75;126.65;127
41;Hoihow;20.045833;110.341667;3
42;Hokow;22.538506;104.01109;1
43;Hongay;20.95;107.1;1
44;Hongkong;22.25;114.1667;1584
45;Hunchun;42.8675;130.358056;1
46;Ichang;30.77135;111.321458;8
47;Iloilo;10.7;122.5667;55
48;Ipoh;4.6;101.0333;5
49;Java;-7.491667;110.004444;1
50;Jesselton;5.9833;116.0667;6
51;Johor Baharu;1.4833;103.7333;2
52;Johore;2;103.5;73
53;Kedah;6;100.666667;43
54;Kelantan;5.333333;102;20
55;Kiukiang;29.733333;115.983333;16
56;Klang;3;101.45;1
57;Kluang;-2.6833;103.9;1
58;Kobe;34.6667;135.2;349
59;Kongmoon;22.583333;113.083333;5
60;Kowloon Frontier;22.3167;114.1833;2
61;Kuala Lipis;4.1833;102;2
62;Kuala Lumpur;3.1667;101.7;21
63;Kuala Tinggi;1.75;103.8833;1
64;Kuantan;3.8333;103.3167;4
65;Kudat;6.9;116.7833;1
66;Labuan;5.333333;115.2;5
67;Lappa;22.12;113.510114;1
68;Legaspi;13.1333;123.7333;1
69;Lungchow;22.4;106.9833;3
70;Macao;22.1667;113.55;13
71;Macassar;-5.15;119.4667;4
72;Malacca;2.25;102.25;74
73;Manila;14.6167;120.9667;1094
74;Medan;3.5833;98.65;15
75;Mengtsz;23.360024;103.43684;4
76;Moji;33.8667;130.8167;6
77;Muar;2.0167;102.5833;1
78;Mukden;41.792222;123.432778;60
79;Nagasaki;32.75;129.8667;14
80;Nagoya;35.1333;136.8833;5
81;Nanking;32.061667;118.777778;52
82;Negri Sembilan;2.75;102.166667;67
83;Newchang;40.664823;122.228329;12
84;Ningpo;29.878186;121.549453;2
85;Osaka;34.6667;135.5;99
86;Otaru;43.2333;140.9833;6
87;Padang;-0.95;100.353056;16
88;Pahang;3.5;102.75;40
89;Pakhoi;21.483333;109.1;3
90;Palembang;-2.9833;104.75;1
91;Peiping;39.928819;116.388869;137
92;Pekan, Pahang;3.4833;103.3833;1
93;Penang;5.32623;100.321579;294
94;Perak;5;101;201
95;Philippines;13;122;5
96;Port Swettenham;3;101.4;6
97;Raub;3.9;101.7833;1
98;Saigon;10.75;106.6667;157
99;Samshui;23.172804;112.833545;1
100;Sandakan;5.8667;118.0667;16
101;Santuao;26.641;119.677;1
102;Sarawak;2.5;113.5;93
103;Selangor;3.166667;101.5;301
104;Semarang;-6.9667;110.4833;28
105;Seoul;37.5333;127;46
106;Seremban;2.7;101.9;5
107;Shanghai;31.222222;121.458056;2552
108;Shantung;36.333333;118.25;1
109;Shasi;30.307222;112.244722;5
110;Shimonoseki;33.9833;130.9667;1
111;Siam;15;100;3
112;Singapore;1.3667;103.8;1207
113;Soochow;31.304077;120.59538;5
114;Sourabaya;-7.2333;112.75;40
115;Straits Settlements;3.65;101.55;6
116;Sumatra;null;null;64
117;Swatow;23.36814;116.71479;39
118;Tabowie;39.3833;126.0167;1
119;Taikoku;25.047;121.525;1
120;Taiping;4.9;100.7;1
121;Taku;33.2833;130.1333;1
122;Tamsui;25.171958;121.442896;2
123;Telok Anson;4.0333;101.0167;1
124;Tengyueh;24.994923;98.512759;3
125;Tientsin;39.142222;117.176667;518
126;Tjilatjap;-7.7333;109;1
127;Tokyo;35.75;139.5;312
128;Tonkin;22;105;7
129;Tourane;16.0667;108.2333;2
130;Trengganu;5;103;12
131;Tsinan;36.683333;117.05;18
132;Tsingtao;36.066049;120.369393;87
133;Vladivostok;43.15;131.8833;9
134;Weihaiwei;37.509136;122.113557;6
135;Wenchow;27.999416;120.66682;2
136;Wuchow;23.483333;111.316667;9
137;Wuhu;32.661111;117.266667;7
138;Yochow;29.3833;113.05;1
139;Yokohoma;35.4667;139.6333;196
140;Yunnanfu;25.038889;102.718333;19
141;Zamboanga;6.9167;122.0833;20
