id;placename;groupmode;y_lat;x_long;personcount;place_category
123;Vladivostok;P;43.15;131.8833;21;Point
124;Wenchow;P;27.999416;120.66682;10;Point
125;Wuchow;P;23.483333;111.316667;25;Point
126;Wuhu;P;32.661111;117.266667;15;Point
127;Yenchow;P;35.552778;116.828611;1;Point
128;Yochow;P;29.3833;113.05;6;Point
129;Yokohoma;P;35.4667;139.6333;212;Point
130;Yunnanfu;P;25.038889;102.718333;23;Point
131;Zamboanga;P;6.9167;122.0833;32;Point
132;Amoy;G;24.479794;118.081869;76;Point
133;Anking;G;30.513646;117.047234;1;Point
134;Bangkok;G;13.753;100.501;397;Point
135;Formosa;G;24;121;19;Polygon
136;Iloilo;G;10.7;122.5667;62;Point
137;Kiukiang;G;29.733333;115.983333;26;Point
138;Mengtsz;G;23.3333;103.35;8;Point
139;Nanning;G;22.816667;108.316667;4;Point
140;Perak;G;5;101;363;Polygon
141;Saigon;G;10.7333;106.65;5;Point
142;Shanghai;G;31.222222;121.458056;5320;Point
143;Tokyo;G;35.75;139.5;408;Point
144;Tsinan;G;36.683333;117.05;50;Point
145;Weihaiwei;G;37.509136;122.113557;23;Point
