1004283	10.7333	106.65
1065983	4.8833	114.9333
1069158	22.6667	113.0833
8679590	37.533333	121.4
1078070	1.5333	124.9167
1080027	34.2	133.1167
1081126	35.95	137.266
1082031	40.6667	129.1833
1082279	35.95	126.7
1082730	5.5	100.4667
1085283	25.128251	121.7419
1114439	38.95	121.75
1138915	39.866939	124.123036
4012742	null	null
6000295	null	null
7000983	13.753	100.501
7001332	41.795	129.775
7001460	2.2333	102.2333
7001465	24.479794	118.081869
7001488	1.2833	103.85
7001795	26.061389	119.306111
7001799	25.35	110.1833
7001835	42.9167	130.4667
7001851	22.3167	114.1667
7002198	40.129167	124.394722
7002231	35.1667	128.5833
7002854	-6.1333	106.75
7004241	13.7833	109.1833
7004816	34.9833	138.4
7016705	0.85	101.6667
7018040	23.116667	113.25
7018970	5.5	117
7594644	5.276667	115.241667
8168292	31.369595	118.376436
8204722	39.822222	119.518056
8276147	29.7403	88.3554
8318544	22.1535	108.153
8328444	25.0201	106.789
8465610	22.5105	103.957
8482460	27.082564	111.951698
8623329	19.728782	110.008512
8677989	21.1	110.466667
1000109	13	105
7059230	null	null
1000111	35	105
7016879	16	107
6001494	11	107
7001329	39.019	125.754
1007585	null	null
7018970	5.5	117
