7004472	35.75	139.5
7004836	35.4667	139.6333
7004740	37.9667	139.0333
7004843	41.7667	140.7333
1000135	13	122
7003706	14.6167	120.9667
1084264	10.7	122.5667
8276147	29.7403	88.3554
7018970	5.5	117
1001952	2.5	113.5
7018970	5.5	117
7594644	5.276667	115.241667
6001494	11	107
7001069	10.75	106.6667
1004283	10.7333	106.65
1000109	13	105
6000295	null	null
7004240	16.4667	107.5833
7004242	16.0667	108.2333
7004241	13.7833	109.1833
7018129	22	105
7001070	21.0167	105.8667
7001067	20.8667	106.6833
1000142	15	100
7000983	13.753	100.501
8711653	3.65	101.55
7001488	1.2833	103.85
7016691	2	103.5
7001460	2.2333	102.2333

7016804	3.166667	101.5
7016763	5	101
1082730	5.5	100.4667

7004542	22.25	114.1667
7005019	22.1667	113.55
1000111	35	105
7001894	21.483333	109.1
1068538	20.045833	110.341667
8199634	23.109799	113.4374
7018040	23.116667	113.25
7001917	23.36814	116.71479
7001465	24.479794	118.081869
1000141	24	121
1085325	22.616256	120.313329

7001795	26.061389	119.306111
7001989	27.999416	120.66682
7023881	29.878186	121.549453
7023856	31.222222	121.458056
8623329	19.728782	110.008512
8148143	32.661111	117.266667
7001850	29.733333	115.983333
7018028	30.583333	114.266667
7001836	30.77135	111.321458
7001787	29.562778	106.552778
8679590	37.533333	121.4
1067360	38.974444	117.673611
7001965	39.142222	117.176667
7001758	39.928819	116.388869
7002219	40.664823	122.228329
7002202	38.8	121.266667
7059230	null	null
7002223	37.5333	127
7000998	37.4667	126.6333
7000996	35.0833	129.0333
7002230	39.152	127.443
7010320	43.15	131.8833
1000120	36	138
7004735	32.75	129.8667
7004560	34.6667	135.2
1081126	35.95	137.266
7004472	35.75	139.5
7004836	35.4667	139.6333
7004740	37.9667	139.0333
7004843	41.7667	140.7333
1000135	13	122
7003706	14.6167	120.9667
1084264	10.7	122.5667
8276147	29.7403	88.3554
7018970	5.5	117
1001952	2.5	113.5
7018970	5.5	117
7594644	5.276667	115.241667
7001069	10.75	106.6667
6001494	11	107
1004283	10.7333	106.65
1000109	13	105
6000295	null	null
7004240	16.4667	107.5833
7004242	16.0667	108.2333
7004241	13.7833	109.1833
7018129	22	105
7001070	21.0167	105.8667
7001067	20.8667	106.6833
1000142	15	100
7000983	13.753	100.501
8711653	3.65	101.55
7001488	1.2833	103.85
7016691	2	103.5
7001460	2.2333	102.2333

7016804	3.166667	101.5
7016763	5	101
1082730	5.5	100.4667

7004542	22.25	114.1667
7005019	22.1667	113.55
1000111	35	105
7001894	21.483333	109.1
1068538	20.045833	110.341667
8199634	23.109799	113.4374
7018040	23.116667	113.25
7001917	23.36814	116.71479
7001465	24.479794	118.081869
1000141	24	121
1085325	22.616256	120.313329

7001795	26.061389	119.306111
7001989	27.999416	120.66682
7023881	29.878186	121.549453
7023856	31.222222	121.458056
8623329	19.728782	110.008512
8148143	32.661111	117.266667
7001850	29.733333	115.983333
7018028	30.583333	114.266667
7001836	30.77135	111.321458
7001787	29.562778	106.552778
8679590	37.533333	121.4
1067360	38.974444	117.673611
7001965	39.142222	117.176667
7001758	39.928819	116.388869
7002219	40.664823	122.228329
7002202	38.8	121.266667
7001988	37.509136	122.113557
7059230	null	null
7002223	37.5333	127
7000998	37.4667	126.6333
7000996	35.0833	129.0333
7002230	39.152	127.443
7010320	43.15	131.8833
1000120	36	138
7004735	32.75	129.8667
7004560	34.6667	135.2
1081126	35.95	137.266
7004472	35.75	139.5
7004836	35.4667	139.6333
7004740	37.9667	139.0333
7004843	41.7667	140.7333
1000135	13	122
7003706	14.6167	120.9667
1084264	10.7	122.5667
8276147	29.7403	88.3554
6001494	11	107
7001069	10.75	106.6667
1004283	10.7333	106.65
1000109	13	105
6000295	null	null
7004240	16.4667	107.5833
7018129	22	105
7001070	21.0167	105.8667
7001067	20.8667	106.6833
7018970	5.5	117
1001952	2.5	113.5
7018970	5.5	117
7594644	5.276667	115.241667
1000142	15	100
7000983	13.753	100.501
8711653	3.65	101.55
7001488	1.2833	103.85
7016691	2	103.5
