146;Sandakan;5.8667;118.0667;22
147;Sarawak;2.5;113.5;56
148;Selangor;3.166667;101.5;140
149;Seoul;37.5333;127;66
150;Seremban;2.7;101.9;18
151;Shanghai;31.222222;121.458056;1389
152;Siam;15;100;31
153;Singapore;1.3667;103.8;946
154;Soochow;31.304077;120.59538;19
155;Straits Settlements;3.65;101.55;2
156;Swatow;23.36814;116.71479;78
157;Szechuen;30.5;102.6667;37
158;Tainan-fu;23.15027;120.34194;12
159;Taku;33.2833;130.1333;18
160;Telok Anson;4.0333;101.0167;1
161;Thanh-hoa;19.8167;105.8;4
162;Tibet;31.6667;88;11
163;Tientsin;39.142222;117.176667;195
164;Tokyo;35.75;139.5;240
165;Tonkin;22;105;79
166;Tourane;16.0667;108.2333;3
167;Vinh;18.7;105.6833;1
168;Vinhlong;10.25;105.9833;2
169;Vladivostok;43.15;131.8833;197
170;Wenchow;27.999416;120.66682;19
171;Whampoa;23.109799;113.4374;2
172;Wuhu;32.661111;117.266667;45
173;Yamaguchi;34.1667;131.4667;1
174;Yenbai;21.7167;104.9;8
175;Yeungkong;21.855635;111.962724;1
176;Yokohoma;35.4667;139.6333;707
177;Yuensan;39.152778;127.443611;2
178;Yunnan;25;101.5;35
179;Yunnanfu;25.038889;102.718333;4
