id;placename;groupmode;y_lat;x_long;personcount;place_category
1;Aduana;P;10.291667;123.904444;2;Point
2;Albay;P;13.2167;123.55;1;Polygon
3;Amur;P;54;128;1;Polygon
4;Anhwei;P;31.916667;117.166667;1;Polygon
5;Annam;P;null;null;23;Polygon
6;Ayuthia, Siam;P;14.283;100.5;1;Polygon
7;Bac-Ninh, Tonkin;P;21.1833;106.05;10;Point
8;Bandau;P;4.417254;114.949949;2;Point
9;Banguey;P;7.25;117.166667;2;Point
10;Banxang;P;19.871292;102.237943;2;Point
11;Batang Padang;P;4.083333;101.333333;1;Polygon
12;Batangas, Philippines;P;13.75;121.05;1;Point
13;Battambang;P;13.1;103.2;2;Point
14;Batu Gajah;P;4.45;101.0333;2;Point
15;Ben-thuy, Annam;P;18.648849;105.717851;8;Point
16;Bentré, Cochin-China;P;10.2333;106.3833;3;Point
17;Bienhoa, Cochin-China;P;10.9667;106.8333;4;Point
18;Bilit;P;5.501446;118.219074;2;Point
19;Binh-phu, Annam;P;15.625833;108.324167;5;Point
20;Blagowestschensk;P;50.3167;127.5;6;Point
21;Bongau;P;5.02917;119.77306;2;Point
22;British North Borneo;P;5.5;117;59;Polygon
23;Brunei;P;4.5;114.6667;1;Polygon
24;Bulacan;P;15;121.0833;1;Polygon
25;Bundu;P;5.536124;115.542076;1;Point
26;Cac Ba, Tonkin;P;20.8333;107;1;Polygon
27;Cagayan;P;18;121.8333;2;Polygon
28;Calbayog;P;12.0667;124.6333;2;Point
29;Cambodge;P;13;105;27;Polygon
30;Camkhé, Tonkin;P;21.406072;105.103024;1;Polygon
31;Cantho, Cochin China;P;10.0333;105.7833;3;Point
32;Canton;P;23.116667;113.25;162;Point
33;Caobang, Tonkin;P;22.6667;106.2667;2;Point
34;Cap St. Jaques;P;10.35;107.0667;1;Point
35;Cebu;P;10.321;123.754;85;Polygon
36;Ch'ing-chowfu;P;36.696667;118.479722;3;Point
37;Changchow;P;24.513333;117.655556;1;Point
38;Changshan;P;28.959681;118.509604;2;Polygon
39;Chantabun, Siam;P;12.6;102.15;1;Polygon
40;Chaoyang;P;41.570278;120.458611;1;Point
41;Chaudoc, Cochin-China;P;10.7;105.05;3;Point
42;Chefoo;P;37.533333;121.4;90;Point
43;Chekiang;P;29.166667;120;35;Polygon
44;Chemulpo;P;37.4667;126.6333;16;Point
45;Chengtu;P;30.666667;104.066667;5;Point
