id;placename;groupmode;y_lat;x_long;personcount;place_category
1;Annam;P;null;null;1;Polygon
2;Antung;P;40.129167;124.394722;5;Point
3;Bandoeng;P;-6.95;107.5667;1;Point
4;Batavia;P;-6.1333;106.75;53;Point
5;Batu Gajah;P;4.45;101.0333;1;Point
6;Batu Pahat;P;1.8333;102.8;1;Point
7;Bengkalis;P;1.45;102.1667;1;Point
8;Bentong;P;3.5333;101.9167;1;Point
9;British North Borneo;P;5.5;117;62;Polygon
10;Brunei;P;4.5;114.6667;13;Polygon
11;Cambodge;P;13;105;1;Polygon
12;Canton;P;23.116667;113.25;215;Point
13;Cebu;P;10.321;123.754;55;Polygon
14;Changchow;P;24.513333;117.655556;1;Point
15;Changchun;P;43.88;125.322778;2;Point
16;Changsha;P;26.714722;112.383889;18;Point
17;Changtu;P;42.293056;123.841389;1;Point
18;Chefoo;P;37.533333;121.4;36;Point
19;Chemulpo;P;37.4667;126.6333;4;Point
20;China;P;35;105;29;Polygon
21;Chinkiang;P;32.210863;119.455076;2;Point
22;Chinnampo;P;38.737;125.407;2;Point
23;Chinwangtao;P;39.931667;119.588333;7;Point
24;Chosen;P;37;127.5;7;Polygon
25;Chungking;P;29.562778;106.552778;21;Point
26;Dairen;P;38.912222;121.602222;45;Point
27;Daitotei;P;25.11531;121.531783;1;Point
28;Davao;P;7.073;125.612;1;Point
29;East Coast of Sumatra;P;0.2433;103.720336;3;Polygon
30;Federated Malay States;P;4;102.1;24;Polygon
31;Foochow;P;27.95999;116.333333;54;Point
32;Haiphong;P;20.8667;106.6833;93;Point
33;Hakodate;P;41.7667;140.7333;3;Point
34;Hangchow;P;30.29365;120.161419;9;Point
35;Hankow;P;30.583333;114.266667;234;Point
36;Hanoi;P;21.0167;105.8667;22;Point
37;Harbin;P;45.75;126.65;127;Point
38;Hoihow;P;20.045833;110.341667;3;Point
39;Hokow;P;22.538506;104.01109;1;Point
40;Hongay;P;20.95;107.1;1;Point
41;Hongkong;P;22.25;114.1667;1584;Polygon
42;Hunchun;P;42.8675;130.358056;1;Point
43;Ichang;P;30.77135;111.321458;8;Point
44;Ipoh;P;4.6;101.0333;5;Point
45;Java;P;-7.491667;110.004444;1;Polygon
46;Jesselton;P;5.9833;116.0667;6;Point
47;Johore;P;2;103.5;73;Polygon
48;Kedah;P;6;100.666667;43;Polygon
49;Kelantan;P;5.333333;102;20;Polygon
50;Klang;P;3;101.45;1;Point
51;Kluang;P;-2.6833;103.9;1;Point
52;Kobe;P;34.6667;135.2;349;Point
53;Kongmoon;P;22.583333;113.083333;5;Point
54;Kowloon Frontier;P;22.3167;114.1833;2;Polygon
55;Kuala Lipis;P;4.1833;102;2;Point
56;Kuala Lumpur;P;3.1667;101.7;21;Point
57;Kuala Tinggi;P;1.75;103.8833;1;Point
58;Kuantan;P;3.8333;103.3167;4;Point
59;Kudat;P;6.9;116.7833;1;Point
60;Labuan;P;5.333333;115.2;5;Polygon
61;Lappa;P;22.12;113.510114;1;Point
62;Legaspi;P;13.1333;123.7333;1;Point
63;Lungchow;P;22.4;106.9833;3;Point
64;Macao;P;22.1667;113.55;13;Polygon
65;Macassar;P;-5.15;119.4667;4;Point
66;Malacca;P;2.25;102.25;74;Polygon
